Timestamp,Q1  How would you describe your academic performance overall this semester?,Q2  Roughly what percentage of your scheduled classes have you attended this semester?,"Q3  Out of the last 5 assignments or coursework submissions due, how many did you submit on time?","Q4  Have you ever repeated, or are you currently repeating, any course at KNUST?","Q5  In the past three months, have you seriously considered withdrawing from KNUST or taking a break of one semester or more from your studies?","Q6  Over the last 2 weeks, how often have you been bothered by... little interest or pleasure in doing things?","Q7  Over the last 2 weeks, how often have you been bothered by... feeling down, depressed, or hopeless?","Q8  Over the last 2 weeks, how often have you been bothered by... feeling nervous, anxious, or on edge?","Q9  Over the last 2 weeks, how often have you been bothered by... not being able to stop or control worrying?","Q10   In the current semester, to what extent has financial difficulty affected your ability to fully participate in your studies? (For example: inability to buy required textbooks, pay exam fees, or cover transport to campus.)","Q11   How would you describe your ability to access the internet reliably for academic work? (For example: downloading lecture notes, submitting assignments online, attending virtual classes.)","Q12   Do you have significant responsibilities outside of your studies — such as paid work, caring for family members, or supporting your household financially — that regularly compete with your study time?",Which faculty or college are you currently enrolled in at KNUST?,"  If you selected Other Faculty, please specify your faculty or school.  ",Q14   What year of study are you currently in?,What is your gender?,"Q16   Thinking about your overall experience at KNUST, how strongly do you feel that you belong here as a student?"
2026/06/12 8:51:41 PM GMT,Average,More than 80%,All 5,No,No,Several days,Not at all,Several days,Nearly every day,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 2,Male,Neutral
2026/06/17 1:07:09 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Not at all,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,School of Business,Humanities ,Year 1,Male,Neutral
2026/06/15 9:18:23 PM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,More than half the days,Not at all,Nearly every day,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Engineering,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/17 1:25:10 PM GMT,Good,More than 80%,3 or 4,No,No,Several days,Several days,Not at all,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Engineering,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/16 9:09:59 PM GMT,Good,More than 80%,All 5,No,No,Nearly every day,Not at all,Several days,Not at all,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,Renewable Natural Resources ,Year 2,Female,Agree — I mostly feel I belong here
2026/06/15 8:24:08 PM GMT,Excellent,More than 80%,All 5,Yes,"Yes, I have seriously considered this",Nearly every day,More than half the days,Several days,Not at all,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/14 10:37:32 AM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Several days,Not at all,Several days,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,School of Business,,Year 1,Male,Agree — I mostly feel I belong here
2026/06/10 1:13:14 PM GMT,Good,More than 80%,3 or 4,No,I have thought about it briefly but not seriously,Several days,More than half the days,Several days,More than half the days,Not at all,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 4,Male,Neutral
2026/06/01 1:03:20 PM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Several days,Nearly every day,More than half the days,Moderately — it has sometimes limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 1,Female,Agree — I mostly feel I belong here
2026/06/13 10:11:42 PM GMT,Good,More than 80%,All 5,No,No,Not at all,More than half the days,Not at all,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,College of Agriculture ,Year 3,Male,Agree — I mostly feel I belong here
2026/06/16 10:04:26 PM GMT,Average,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Nearly every day,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/10 2:03:48 PM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Not at all,Several days,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/01 3:22:10 PM GMT,Excellent,More than 80%,All 5,No,No,Nearly every day,Several days,Not at all,Not at all,Severely — it has significantly limited my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/10 12:33:49 PM GMT,Good,60–80%,3 or 4,No,No,Not at all,Not at all,Not at all,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,College of humanities ,Year 1,Prefer not to say,Neutral
2026/06/01 8:17:26 AM GMT,Good,60–80%,1 or 2,No,"Yes, I have seriously considered this",Not at all,Nearly every day,Nearly every day,Several days,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 1,Male,Neutral
2026/05/30 11:54:07 AM GMT,Average,More than 80%,All 5,No,No,Several days,Not at all,Not at all,Several days,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Science,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/13 9:44:03 PM GMT,Excellent,More than 80%,3 or 4,No,"Yes, I have seriously considered this",Several days,Several days,Several days,Several days,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 4,Male,Disagree — I often feel I do not belong here
2026/05/28 1:22:04 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,More than half the days,Not at all,Nearly every day,Not at all,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/13 9:52:30 PM GMT,Below Average,60–80%,All 5,No,No,Not at all,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/13 9:10:41 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,Other Faculty,,Year 1,Female,Strongly agree — I feel I belong here
2026/06/13 9:00:10 PM GMT,Average,40–60%,All 5,Yes,"Yes, I have seriously considered this",Several days,More than half the days,Several days,More than half the days,Moderately — it has sometimes limited my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Engineering,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/13 9:10:41 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Several days,Not at all,Not at all,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,School of Business,,Year 4,Male,Agree — I mostly feel I belong here
2026/06/10 12:33:58 PM GMT,Good,40–60%,1 or 2,No,I have thought about it briefly but not seriously,More than half the days,Several days,Several days,Nearly every day,Not at all,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Engineering,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/10 2:00:44 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,More than half the days,Several days,Several days,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,School of Business,,Year 2,Female,Agree — I mostly feel I belong here
2026/06/13 8:31:49 PM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Nearly every day,More than half the days,More than half the days,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Male,Agree — I mostly feel I belong here
2026/06/16 9:09:59 PM GMT,Good,More than 80%,3 or 4,Yes,No,Several days,Not at all,Several days,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 3,Female,Agree — I mostly feel I belong here
2026/06/16 9:42:43 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 1,Female,Strongly agree — I feel I belong here
2026/06/01 3:28:11 AM GMT,Average,More than 80%,All 5,Yes,I have thought about it briefly but not seriously,More than half the days,Nearly every day,Nearly every day,Several days,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,,Year 2,Female,Neutral
2026/06/01 12:58:03 PM GMT,Good,60–80%,All 5,No,No,Several days,Nearly every day,Several days,Nearly every day,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,Faculty of art,Year 3,Male,Neutral
2026/06/09 2:57:08 PM GMT,Average,60–80%,1 or 2,No,"Yes, I have seriously considered this",Nearly every day,Not at all,Several days,Nearly every day,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Male,Agree — I mostly feel I belong here
2026/06/12 8:43:04 PM GMT,Average,Less than 40%,3 or 4,No,"Yes, I have seriously considered this",Nearly every day,Not at all,Several days,More than half the days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,Computer Engineering ,Year 1,Male,Agree — I mostly feel I belong here
2026/06/12 9:09:06 PM GMT,Good,More than 80%,All 5,No,No,More than half the days,Not at all,Not at all,Several days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,Other Faculty,Hospitality and tourism management ,Year 4,Male,Agree — I mostly feel I belong here
2026/05/31 3:42:58 PM GMT,Good,60–80%,All 5,No,"Yes, I have seriously considered this",Nearly every day,Several days,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,Computer Engineering ,Year 2,Male,Neutral
2026/06/15 9:51:36 PM GMT,Good,More than 80%,3 or 4,No,No,Not at all,Not at all,Nearly every day,Nearly every day,Not at all,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Science,College of Art and Built Environment ,Year 2,Female,Strongly agree — I feel I belong here
2026/06/01 3:39:06 AM GMT,Excellent,More than 80%,3 or 4,No,No,Not at all,Several days,More than half the days,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 1,Female,Neutral
2026/06/12 8:25:23 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Several days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/13 9:06:53 PM GMT,Good,More than 80%,3 or 4,No,No,Several days,Several days,Not at all,Several days,Severely — it has significantly limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Health Sciences,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/12 8:47:12 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Nearly every day,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,School of Business,,Year 2,Female,Strongly agree — I feel I belong here
2026/06/16 9:42:43 PM GMT,Good,More than 80%,All 5,No,No,Several days,Nearly every day,Not at all,Several days,Severely — it has significantly limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,School of Business,,Year 2,Female,Agree — I mostly feel I belong here
2026/06/14 10:41:53 AM GMT,Good,60–80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Not at all,Several days,Several days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,Sciences,Year 4,Male,Agree — I mostly feel I belong here
2026/06/16 9:23:51 PM GMT,Average,60–80%,All 5,No,"Yes, I have seriously considered this",Not at all,Not at all,Not at all,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/12 8:40:04 PM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Not at all,Several days,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,School of Business,,Year 4,Male,Neutral
2026/06/16 8:20:55 PM GMT,Good,60–80%,All 5,No,No,More than half the days,Several days,Several days,Not at all,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,School of Business,Agriculture ,Year 1,Female,Agree — I mostly feel I belong here
2026/06/15 9:08:49 PM GMT,Average,More than 80%,All 5,No,No,Not at all,Several days,Several days,Several days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 2,Male,Neutral
2026/06/01 1:06:30 PM GMT,Excellent,More than 80%,All 5,No,No,Nearly every day,Not at all,Several days,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,Faulty of bioscience ,Year 3,Male,Agree — I mostly feel I belong here
